ロット番号,塗布長,種別,号機,コーター部温度,コーター部相対湿度,ポンプ圧力,乾燥ゾーン1温度,乾燥ゾーン2温度,UV照度,ランプ点灯時間,チャンバー内O2濃度,UVロール温度,ブリードアウト,塗布材料
SC0002405,1200m,製造,YC-08,27.16,50.2,0.9,120.0,122.05,1020.2,240,0.01029,89.07,False,A
SC0002406,500m,製造,YC-08,28.71,50.8,0.9,120.09,122.07,1020.1,1303,0.01129,89.05,False,A
SC0002407,1200m,製造,YC-08,27.62,50.3,0.9,120.03,122.01,1020.0,552,0.01077,89.02,True,A
SC0002408,1200m,製造,YC-08,28.09,50.4,0.9,120.0,122.11,1020.4,580,0.01046,89.03,False,A
SC0002409,1200m,製造,YC-08,27.58,50.3,0.9,120.0,122.01,1020.1,441,0.01062,89.04,False,A
SC0002410,1000m,製造,YC-08,27.18,50.1,0.9,120.05,122.09,1020.1,136,0.01015,89.11,False,A
SC0002411,1200m,製造,YC-08,28.34,50.6,0.9,120.0,122.03,1020.1,913,0.01063,89.04,False,A
SC0002412,30m,研究所テスト,YC-08,27.66,51.3,0.9,120.09,122.09,1020.2,2079,0.01165,89.14,False,A
SC0002413,1500m,製造,YC-08,28.47,50.7,0.9,120.0,122.41,1022.7,1121,0.01134,89.1,False,A
SC0002414,1200m,製造,YC-08,27.51,50.2,0.9,120.05,122.01,1020.1,386,0.01023,89.05,False,A
SC0002415,1500m,製造,YC-08,27.73,50.3,0.9,120.16,122.32,1020.6,552,0.01049,89.08,False,A
SC0002416,1000m,試作品,YC-08,27.87,50.6,0.9,120.21,122.33,1020.8,1038,0.01185,89.05,False,A
SC0002417,1000m,製造,YC-08,29.22,51.0,0.9,120.0,122.03,1020.1,1688,0.01167,89.05,False,A
SC0002418,1500m,製造,YC-08,30.18,51.5,0.9,120.02,122.0,1020.1,2426,0.01216,89.08,True,A
SC0002419,1000m,製造,YC-08,28.37,50.6,0.9,120.01,122.01,1020.0,613,0.01091,89.03,False,A
SC0002420,1200m,製造,YC-08,27.5,50.2,0.9,120.0,122.02,1020.1,379,0.01019,89.03,False,A
SC0002421,1000m,試作品,YC-08,28.46,50.8,0.9,120.0,122.01,1020.0,1262,0.01125,89.03,False,A
SC0002422,1200m,製造,YC-08,27.8,50.4,0.9,120.0,122.01,1020.1,611,0.01036,89.03,False,A
SC0002423,1500m,製造,YC-08,27.83,50.5,0.9,120.0,122.03,1020.1,691,0.0111,89.07,False,A
SC0002424,100m,研究所テスト,YC-08,29.63,51.1,0.9,120.03,122.03,1020.1,1836,0.01182,89.05,False,A
SC0002425,1000m,製造,YC-08,27.49,50.2,0.9,120.0,122.01,1020.0,370,0.01022,89.01,False,A
SC0002426,1200m,製造,YC-08,28.12,50.5,0.9,120.0,122.01,1020.1,850,0.01127,89.07,False,A
SC0002427,1500m,製造,YC-08,28.09,50.5,0.9,120.14,122.05,1020.3,830,0.01165,89.06,False,A
SC0002428,500m,製造,YC-08,28.09,50.3,0.9,120.01,122.0,1020.0,559,0.0105,89.03,False,A
SC0002429,1200m,試作品,YC-08,27.17,51.3,0.9,120.0,122.06,1020.2,2169,0.01365,89.07,False,A
SC0002430,500m,製造,YC-08,27.83,50.4,0.9,120.0,122.01,1020.0,691,0.01041,89.05,False,A
SC0002431,1500m,製造,YC-08,28.82,50.9,0.9,120.0,122.05,1020.1,1385,0.0111,89.05,False,A
SC0002432,500m,製造,YC-08,28.27,50.6,0.9,120.66,122.07,1021.0,968,0.01135,89.08,False,A
SC0002433,1200m,製造,YC-08,27.45,50.6,0.9,120.0,122.12,1020.3,1034,0.01144,89.07,False,A
SC0002434,1000m,製造,YC-08,27.66,50.3,0.9,120.0,122.1,1020.4,691,0.01062,89.06,False,A
SC0002435,1200m,製造,YC-08,27.97,50.5,0.9,120.09,122.01,1020.1,734,0.01073,89.05,False,A
SC0002436,1000m,試作品,YC-08,27.91,50.4,0.9,120.0,122.02,1020.1,691,0.01213,89.04,False,A
SC0002437,1200m,製造,YC-08,28.64,50.8,0.934,120.0,122.35,1021.6,1246,0.01223,89.08,False,A
SC0002438,1500m,製造,YC-08,29.18,51.0,0.9,120.4,122.19,1020.9,1662,0.01198,89.08,False,A
SC0002439,1000m,製造,YC-08,28.09,50.5,0.9,120.0,122.09,1020.2,848,0.01181,89.07,False,A
SC0002440,1500m,製造,YC-08,29.17,51.0,0.9,120.0,122.05,1020.2,1652,0.01246,89.05,False,A
SC0002441,500m,製造,YC-08,27.74,50.3,0.9,120.03,122.0,1020.0,561,0.01073,89.04,False,A
SC0002442,1200m,製造,YC-08,27.91,50.4,0.9,120.01,122.01,1020.0,691,0.01076,89.03,False,A
SC0002443,1000m,製造,YC-08,27.73,50.3,0.9,120.05,122.07,1020.1,552,0.01033,89.02,False,A
SC0002444,1000m,製造,YC-08,28.64,50.8,0.9,120.0,122.09,1020.2,1246,0.01111,89.08,False,A
SC0002445,1200m,製造,YC-08,27.65,50.3,0.9,120.04,122.02,1020.1,497,0.01069,89.04,False,A
SC0002446,1500m,製造,YC-08,27.45,50.2,0.9,120.0,122.04,1020.1,344,0.01027,89.03,False,A
SC0002447,500m,製造,YC-08,28.18,50.4,0.9,120.79,122.26,1020.9,691,0.01062,89.05,False,A
SC0002448,1500m,製造,YC-08,28.9,50.9,0.9,120.0,122.01,1020.1,1451,0.01086,89.03,False,A
SC0002449,1200m,製造,YC-08,27.61,50.4,0.9,120.0,122.03,1020.1,691,0.01082,89.04,False,A
SC0002450,1500m,製造,YC-08,28.0,50.5,0.9,120.01,122.0,1020.0,760,0.01076,89.04,True,A
SC0002451,1000m,製造,YC-08,27.95,50.3,0.9,120.01,122.01,1020.0,552,0.01044,89.07,False,A
SC0002452,1200m,製造,YC-08,27.17,50.1,0.9,120.0,122.2,1020.2,344,0.01027,89.09,False,A
SC0002453,1200m,製造,YC-08,28.25,50.3,0.9,120.05,122.03,1020.1,455,0.01045,89.04,False,A
SC0002454,500m,製造,YC-08,28.27,50.6,0.9,120.16,122.1,1021.3,968,0.01212,89.08,False,A
SC0002455,1200m,製造,YC-08,27.5,50.6,0.9,120.0,122.5,1020.7,1385,0.01082,89.09,False,A
SC0002456,1000m,製造,YC-08,27.82,50.4,0.9,120.05,122.09,1020.2,621,0.01062,89.04,True,A
SC0002457,1000m,製造,YC-08,30.18,51.5,0.9,120.04,122.0,1020.1,2426,0.01385,89.09,False,A
SC0002458,1200m,試作品,YC-08,27.41,50.2,0.9,120.0,122.09,1020.1,309,0.01034,89.02,True,A
SC0002459,1200m,製造,YC-08,28.13,50.4,0.9,120.0,122.05,1020.1,602,0.01066,89.03,False,A
SC0002460,1200m,製造,YC-08,27.65,50.3,0.9,120.0,122.01,1020.1,497,0.01054,89.02,False,A
SC0002461,100m,研究所テスト,YC-08,28.17,50.5,0.9,120.38,122.05,1020.9,1732,0.01378,89.06,False,A
SC0002462,500m,製造,YC-08,27.29,50.2,0.902,120.0,122.01,1020.0,613,0.01061,89.03,False,A
SC0002463,1200m,製造,YC-08,28.91,50.9,0.9,120.0,122.01,1020.2,1454,0.01173,89.1,False,A
SC0002464,1000m,製造,YC-08,27.96,50.4,0.9,120.0,122.0,1020.0,413,0.01016,89.03,False,A
SC0002465,1200m,製造,YC-08,27.6,50.3,0.9,120.0,122.03,1020.1,457,0.01041,89.02,False,A
SC0002466,1000m,製造,YC-08,28.31,50.6,0.9,120.0,122.18,1020.4,996,0.01099,89.03,False,A
SC0002467,1200m,試作品,YC-08,28.82,50.9,0.9,120.05,122.05,1020.1,1385,0.01055,89.07,False,A
SC0002468,1000m,製造,YC-08,28.27,50.6,0.9,120.05,122.08,1020.2,968,0.01135,89.03,False,A
SC0002469,1200m,製造,YC-08,28.11,50.5,0.9,120.0,122.05,1020.3,847,0.01135,89.04,False,A
SC0002470,1200m,製造,YC-08,28.82,50.9,0.9,120.65,122.45,1021.7,1385,0.01179,89.08,False,A
SC0002471,1200m,製造,YC-08,27.19,50.1,0.9,120.0,122.01,1020.0,205,0.01016,89.05,False,A
SC0002472,500m,製造,YC-08,29.27,51.1,0.9,120.4,122.2,1021.5,1732,0.01275,89.08,False,A
SC0002473,1000m,製造,YC-08,27.79,50.3,0.9,120.08,122.06,1020.1,552,0.01055,89.07,False,A
SC0002474,1500m,製造,YC-08,28.0,50.5,0.9,120.0,122.01,1020.0,759,0.01121,89.1,False,A
SC0002475,1000m,製造,YC-08,29.73,51.3,0.9,120.53,123.07,1022.5,2079,0.01247,89.12,False,A
SC0002476,300m,製造,YC-08,28.66,51.4,0.9,120.09,122.07,1020.2,2203,0.01349,89.1,False,A
SC0002477,1200m,製造,YC-08,27.23,50.1,0.901,120.0,122.21,1020.6,170,0.01027,89.07,False,A
SC0002478,500m,製造,YC-08,27.91,50.4,0.9,120.0,122.03,1020.1,691,0.01062,89.05,False,A
SC0002479,100m,研究所テスト,YC-08,31.38,51.3,0.9,120.11,122.13,1020.6,2079,0.01227,89.09,False,A
SC0002480,1200m,製造,YC-08,27.91,50.4,0.9,120.01,122.01,1020.0,691,0.01062,89.04,True,A
SC0002481,1200m,製造,YC-08,27.18,50.3,0.9,120.0,122.01,1020.3,507,0.01091,89.11,False,A
SC0002482,1200m,製造,YC-08,27.38,50.2,0.9,120.1,122.06,1020.3,330,0.0104,89.03,False,A
SC0002483,1200m,試作品,YC-08,27.3,50.1,0.9,120.0,122.0,1020.0,226,0.01007,89.01,False,A
SC0002484,1200m,製造,YC-08,27.89,50.4,0.9,120.0,122.07,1020.3,674,0.01087,89.02,False,A
SC0002485,1200m,製造,YC-08,27.18,50.1,0.9,120.14,122.05,1020.2,136,0.01025,89.02,False,A
SC0002486,1500m,製造,YC-08,27.65,50.3,0.9,120.05,122.07,1020.1,497,0.0104,89.03,False,A
SC0002487,1500m,製造,YC-08,28.09,50.5,0.9,120.0,122.0,1020.0,830,0.01066,89.05,False,A
SC0002488,500m,製造,YC-08,27.63,50.4,0.9,120.15,122.24,1020.7,663,0.01073,89.06,False,A
SC0002489,1500m,製造,YC-08,28.0,50.5,0.9,120.0,122.03,1020.1,760,0.01045,89.03,False,A
SC0002490,1200m,製造,YC-08,28.52,50.3,0.9,120.27,122.03,1020.4,552,0.01055,89.02,False,A
SC0002491,1200m,製造,YC-08,27.31,50.1,0.9,120.0,122.03,1020.1,431,0.01047,89.03,False,A
SC0002492,500m,製造,YC-08,28.06,50.5,0.9,120.02,122.02,1020.0,830,0.01091,89.03,False,A
SC0002493,1000m,製造,YC-08,27.83,50.4,0.9,120.09,122.07,1020.1,628,0.011,89.03,False,A
SC0002494,500m,製造,YC-08,27.25,50.1,0.9,120.2,122.12,1020.3,191,0.01013,89.03,False,A
SC0002495,1500m,製造,YC-08,27.21,50.1,0.9,120.0,122.01,1020.1,158,0.0101,89.03,False,A
SC0002496,1200m,製造,YC-08,28.12,50.5,0.9,120.0,122.03,1020.1,856,0.01093,89.03,False,A
SC0002497,1500m,製造,YC-08,27.92,50.4,0.9,120.0,122.04,1020.6,703,0.01063,89.08,False,A
SC0002498,1200m,製造,YC-08,28.46,50.7,0.9,120.0,122.05,1020.3,1079,0.01182,89.16,False,A
SC0002499,500m,製造,YC-08,28.62,50.4,0.9,120.02,122.02,1020.1,691,0.01027,89.1,False,A
SC0002500,300m,製造,YC-08,30.3,50.9,0.9,120.05,122.05,1020.3,1385,0.01206,89.05,False,A
SC0002501,1200m,製造,YC-08,28.82,50.9,0.9,120.0,122.02,1020.2,1385,0.01179,89.07,False,A
SC0002502,1200m,製造,YC-08,28.18,50.6,0.9,120.0,122.06,1020.1,899,0.01089,89.04,False,A
SC0002503,500m,製造,YC-08,28.73,50.7,0.9,120.0,122.21,1025.7,2426,0.01288,89.34,False,A
SC0002504,1200m,製造,YC-08,27.76,50.4,0.9,120.0,122.06,1020.1,575,0.01029,89.02,False,A
SC0002505,1000m,製造,YC-08,27.58,50.3,0.9,120.05,122.01,1020.1,441,0.01057,89.03,False,A
SC0002506,500m,製造,YC-08,28.26,50.5,0.9,120.0,122.0,1020.0,830,0.01107,89.06,False,A
SC0002507,1000m,製造,YC-08,27.08,50.2,0.9,120.0,122.18,1020.3,310,0.01008,89.09,False,A
SC0002508,1500m,製造,YC-08,27.55,50.3,0.9,120.0,122.09,1020.3,413,0.01054,89.07,False,A
SC0002509,1200m,製造,YC-08,27.83,50.3,0.9,120.0,122.01,1020.0,691,0.01041,89.06,False,A
SC0002510,1000m,製造,YC-08,27.44,50.2,0.9,120.01,122.0,1020.0,330,0.01016,89.02,False,A
SC0002511,1200m,試作品,YC-08,27.91,50.4,0.9,120.0,122.04,1020.1,691,0.01069,89.02,False,A
SC0002512,1000m,製造,YC-08,30.67,51.4,0.9,120.0,122.11,1020.4,1528,0.01148,89.05,False,A
SC0002513,1000m,製造,YC-08,27.81,50.4,0.9,120.01,122.01,1020.0,613,0.01067,89.03,False,A
SC0002514,1500m,製造,YC-08,27.45,50.2,0.9,120.24,122.02,1020.7,337,0.01074,89.05,False,A
SC0002515,1200m,製造,YC-08,27.99,50.9,0.9,120.0,122.05,1020.3,1385,0.01137,89.05,False,A
SC0002516,1500m,製造,YC-08,27.2,50.1,0.9,120.14,122.04,1020.4,150,0.01027,89.03,False,A
SC0002517,1200m,製造,YC-08,27.91,50.4,0.9,120.0,122.03,1020.1,691,0.01034,89.04,False,A
SC0002518,300m,製造,YC-08,27.26,50.3,0.9,120.25,122.25,1021.8,552,0.01077,89.08,False,A
SC0002519,1000m,製造,YC-08,28.3,50.3,0.9,120.14,122.09,1020.3,552,0.01066,89.05,False,A
SC0002520,500m,製造,YC-08,28.91,50.9,0.9,120.33,122.33,1020.5,1454,0.01159,89.08,False,A
SC0002521,100m,研究所テスト,YC-08,29.73,51.3,0.9,120.12,122.1,1020.2,2079,0.01185,89.17,False,A
SC0002522,1200m,製造,YC-08,28.02,50.4,0.9,120.02,122.01,1020.0,483,0.01034,89.04,False,A
SC0002523,1200m,製造,YC-08,28.24,50.8,0.9,120.11,122.18,1020.4,1303,0.01155,89.13,False,A
SC0002524,1000m,製造,YC-08,27.94,50.4,0.9,120.0,122.02,1020.0,712,0.01035,89.05,True,A
SC0002525,1200m,製造,YC-08,27.91,50.4,0.9,120.05,122.08,1020.1,691,0.01041,89.08,False,A
SC0002526,1000m,製造,YC-08,28.45,50.7,0.9,120.09,122.06,1020.1,1105,0.01077,89.07,False,A
SC0002527,500m,製造,YC-08,30.13,50.7,0.9,120.05,122.06,1020.1,1107,0.01099,89.03,False,A
SC0002528,1200m,製造,YC-08,27.59,50.3,0.9,120.0,122.01,1020.1,448,0.01045,89.06,False,A
SC0002529,1200m,製造,YC-08,27.91,50.4,0.9,120.0,122.03,1020.1,691,0.01041,89.05,False,A
SC0002530,1200m,製造,YC-08,27.56,50.2,0.9,120.22,122.45,1021.2,483,0.01067,89.07,False,A
SC0002531,1200m,製造,YC-08,29.68,50.7,0.9,120.09,122.05,1020.2,1142,0.01181,89.1,False,A
SC0002532,1500m,製造,YC-08,28.74,50.8,0.9,120.0,122.25,1021.0,1324,0.01118,89.07,False,A
SC0002533,1000m,製造,YC-08,27.99,50.3,0.9,120.0,122.01,1020.1,552,0.01027,89.06,False,A
SC0002534,1500m,製造,YC-08,31.87,51.3,0.9,120.0,122.09,1020.1,2079,0.01185,89.05,True,A
SC0002535,1000m,製造,YC-08,28.64,50.8,0.9,120.0,122.0,1020.0,1246,0.01099,89.05,False,A
SC0002536,1200m,製造,YC-08,27.65,50.3,0.9,120.05,122.09,1020.1,491,0.01044,89.04,True,A
SC0002537,500m,試作品,YC-08,27.25,50.1,0.9,120.0,122.05,1020.1,191,0.01012,89.03,True,A
SC0002538,1200m,製造,YC-08,28.31,50.6,0.9,120.0,122.01,1020.1,996,0.01148,89.04,False,A
SC0002539,1500m,製造,YC-08,27.83,50.4,0.9,120.05,122.09,1020.2,632,0.01082,89.03,True,A
SC0002540,1200m,製造,YC-08,28.29,50.8,0.9,120.0,122.1,1020.2,1246,0.01173,89.06,False,A
SC0002541,1200m,製造,YC-08,27.91,50.4,0.9,120.21,122.21,1020.5,489,0.01069,89.05,False,A
SC0002542,1200m,製造,YC-08,28.02,50.5,0.9,120.02,122.03,1020.1,774,0.011,89.07,False,A
SC0002543,500m,製造,YC-08,30.01,50.6,0.9,120.0,122.09,1020.2,968,0.01077,89.08,False,A
SC0002544,1200m,試作品,YC-08,29.85,51.0,0.9,120.36,122.02,1020.4,1558,0.0117,89.06,False,A
SC0002545,1200m,製造,YC-08,28.82,50.9,0.9,120.0,122.17,1020.7,1385,0.01192,89.06,False,A
SC0002546,1000m,製造,YC-08,28.85,50.9,0.9,120.1,122.1,1020.1,1411,0.0107,89.04,False,A
SC0002547,1500m,試作品,YC-08,28.34,50.6,0.9,120.0,122.04,1020.2,1020,0.01122,89.05,False,A
SC0002548,1000m,製造,YC-08,27.25,50.1,0.9,120.09,122.08,1020.3,101,0.01015,89.06,False,A
SC0002549,1200m,製造,YC-08,27.63,50.4,0.9,120.0,122.01,1020.0,691,0.01069,89.04,False,A
SC0002550,1200m,製造,YC-08,27.31,50.3,0.9,120.25,122.12,1020.2,524,0.01037,89.04,False,A
SC0002551,1200m,製造,YC-08,27.91,50.4,0.9,120.03,122.0,1020.0,691,0.01062,89.03,False,A
SC0002552,500m,製造,YC-08,29.57,50.8,0.9,120.0,122.55,1020.5,1291,0.01064,89.06,False,A
SC0002553,500m,製造,YC-08,27.45,50.2,0.9,120.01,122.0,1020.0,344,0.01034,89.03,True,A
SC0002554,500m,製造,YC-08,27.91,50.4,0.9,120.09,122.03,1020.1,691,0.01076,89.05,False,A
SC0002555,500m,製造,YC-08,28.93,51.5,0.9,120.0,122.09,1020.2,2426,0.01192,89.09,False,A
SC0002556,1500m,製造,YC-08,27.45,50.2,0.9,120.14,122.04,1020.2,344,0.01058,89.04,False,A
SC0002557,1200m,製造,YC-08,28.16,50.6,0.9,120.0,122.24,1021.1,1038,0.01103,89.06,False,A
SC0002558,300m,製造,YC-08,28.53,50.7,0.9,120.09,122.06,1020.1,1163,0.01138,89.05,True,A
SC0002559,300m,製造,YC-08,29.33,51.1,0.9,120.0,122.04,1020.1,1773,0.01299,89.08,False,A
SC0002560,1500m,製造,YC-08,29.27,51.1,0.9,120.0,122.42,1020.5,1732,0.01103,89.06,False,A
SC0002561,300m,製造,YC-08,29.56,51.0,0.9,120.26,122.51,1022.2,2079,0.01247,89.08,False,A
SC0002562,300m,製造,YC-08,31.79,51.3,0.9,120.05,122.02,1020.2,2079,0.01268,89.11,False,A
SC0002563,100m,研究所テスト,YC-08,29.79,51.1,0.9,120.05,122.01,1020.2,1801,0.01179,89.08,False,A
SC0002564,500m,製造,YC-08,27.8,50.3,0.9,120.02,122.03,1020.1,288,0.01026,89.04,False,A
SC0002565,1200m,製造,YC-08,27.91,50.4,0.9,120.0,122.03,1020.0,422,0.01048,89.04,False,A
SC0002566,1500m,製造,YC-08,28.88,51.0,0.9,120.13,122.27,1020.6,830,0.01091,89.08,False,A
SC0002567,1000m,製造,YC-08,27.1,50.8,0.9,120.0,122.04,1020.6,1260,0.01225,89.05,True,A
SC0002568,1000m,製造,YC-08,29.37,50.9,0.9,120.0,122.04,1020.5,1385,0.0111,89.05,False,A
SC0002569,1200m,製造,YC-08,28.45,50.7,0.9,120.0,122.02,1020.0,1107,0.01044,89.06,False,A
SC0002570,1200m,製造,YC-08,27.45,50.2,0.9,120.05,122.09,1020.2,344,0.01048,89.03,False,A
SC0002571,1500m,製造,YC-08,30.18,51.5,0.9,120.05,122.03,1020.3,2426,0.01385,89.07,True,A
SC0002572,1200m,製造,YC-08,27.9,50.4,0.9,120.0,122.02,1020.0,680,0.01068,89.04,False,A
SC0002573,1500m,製造,YC-08,27.55,50.3,0.9,120.09,122.09,1020.2,413,0.01049,89.08,False,A
SC0002574,1500m,製造,YC-08,27.85,50.4,0.9,120.16,122.16,1020.4,646,0.01077,89.03,False,A
SC0002575,1500m,製造,YC-08,27.91,50.4,0.9,120.0,122.32,1020.6,691,0.01048,89.07,False,A
SC0002576,1200m,製造,YC-08,28.96,50.9,0.9,120.1,122.15,1020.5,1496,0.01208,89.04,False,A
SC0002577,1200m,製造,YC-08,28.53,50.7,0.9,120.0,122.02,1020.1,1163,0.01173,89.04,False,A
SC0002578,1000m,試作品,YC-08,31.87,50.9,0.9,120.0,122.02,1020.2,1513,0.0121,89.04,False,A
SC0002579,1000m,製造,YC-08,28.35,50.6,0.9,120.25,122.5,1020.8,830,0.01066,89.13,False,A
SC0002580,500m,製造,YC-08,28.03,50.6,0.9,120.0,122.09,1020.3,1038,0.01082,89.07,False,A
SC0002581,1500m,試作品,YC-08,28.74,50.8,0.9,120.0,122.03,1020.3,1324,0.01171,89.04,False,A
SC0002582,500m,製造,YC-08,28.91,50.9,0.9,120.14,122.04,1020.2,1454,0.01159,89.07,False,A
SC0002583,500m,製造,YC-08,28.71,50.8,0.9,120.08,122.1,1020.4,1303,0.01155,89.04,False,A
SC0002584,1500m,製造,YC-08,27.11,50.1,0.9,120.0,122.01,1020.0,80,0.01014,89.01,False,A
SC0002585,1200m,製造,YC-08,27.76,50.4,0.9,120.0,122.01,1020.1,575,0.01074,89.02,False,A
SC0002586,1000m,試作品,YC-08,27.87,50.4,0.9,120.42,122.25,1020.9,663,0.01059,89.1,False,A
SC0002587,1200m,製造,YC-08,28.18,50.6,0.9,120.0,122.01,1020.3,899,0.01152,89.06,False,A
SC0002588,1200m,製造,YC-08,28.91,50.9,0.9,120.0,122.03,1020.1,1454,0.01087,89.08,False,A
SC0002589,1200m,製造,YC-08,27.64,50.3,0.9,120.05,122.06,1020.1,483,0.01034,89.01,False,A
SC0002590,300m,製造,YC-08,30.76,51.5,0.9,120.25,122.2,1020.4,1891,0.0115,89.05,False,A
SC0002591,1500m,製造,YC-08,28.74,50.8,0.9,120.0,122.08,1021.3,1329,0.01185,89.1,False,A
SC0002592,1000m,製造,YC-08,30.67,51.5,0.9,120.39,122.03,1020.6,1246,0.01173,89.05,False,A
SC0002593,1200m,製造,YC-08,29.01,50.4,0.9,120.13,122.25,1020.3,663,0.01053,89.05,False,A
SC0002594,1200m,製造,YC-08,30.26,50.7,0.9,120.0,122.13,1020.3,1107,0.01132,89.05,False,A
SC0002595,1200m,製造,YC-08,28.06,50.4,0.9,120.0,122.01,1020.2,1107,0.0111,89.1,False,A
SC0002596,1200m,製造,YC-08,27.65,50.3,0.9,120.0,122.17,1020.8,497,0.01074,89.05,False,A
SC0002597,1200m,製造,YC-08,28.64,50.8,0.9,120.0,122.02,1020.2,1246,0.01136,89.05,False,A
SC0002598,1200m,製造,YC-08,28.32,50.6,0.9,120.0,122.01,1020.4,1038,0.01144,89.04,True,A
SC0002599,1000m,製造,YC-08,27.27,50.1,0.9,120.0,122.01,1020.1,205,0.01014,89.01,False,A
SC0002600,1200m,製造,YC-08,28.18,50.6,0.9,120.0,122.08,1020.2,899,0.01152,89.06,False,A
SC0002601,1000m,製造,YC-08,27.68,50.3,0.9,120.05,122.07,1020.1,517,0.01026,89.03,False,A
SC0002602,1000m,製造,YC-08,28.08,50.5,0.9,120.06,122.01,1020.1,819,0.01138,89.05,False,A
SC0002603,300m,試作品,YC-08,29.32,51.1,0.9,120.0,122.05,1020.4,1765,0.01122,89.06,False,A
SC0002604,1200m,製造,YC-08,29.11,50.8,0.9,120.33,122.2,1020.8,1662,0.01231,89.07,False,A
SC0002605,1000m,製造,YC-08,29.73,51.3,0.9,120.07,122.07,1020.2,2079,0.0135,89.09,False,A
SC0002606,1000m,試作品,YC-08,27.09,50.0,0.9,120.05,122.03,1020.1,66,0.01004,89.03,False,A
SC0002607,1200m,製造,YC-08,28.31,50.6,0.9,120.0,122.02,1020.0,996,0.0104,89.03,False,A
SC0002608,1200m,製造,YC-08,28.09,50.5,0.9,120.05,122.02,1020.1,830,0.01066,89.03,False,A
SC0002609,1000m,製造,YC-08,28.18,50.6,0.9,120.01,122.01,1020.0,899,0.01054,89.04,False,A
SC0002610,1000m,製造,YC-08,28.85,50.9,0.9,120.33,122.02,1020.9,1412,0.01196,89.08,False,A
SC0002611,1500m,製造,YC-08,28.12,50.5,0.9,120.0,122.09,1020.2,856,0.01119,89.04,False,A
SC0002612,1200m,製造,YC-08,28.18,50.5,0.9,120.13,122.05,1020.6,691,0.01089,89.04,False,A
SC0002613,1200m,製造,YC-08,28.66,50.8,0.9,120.11,122.07,1020.3,1263,0.01138,89.05,True,A
SC0002614,100m,研究所テスト,YC-08,27.46,50.2,0.9,120.32,122.06,1021.0,351,0.01095,89.04,False,A
SC0002615,1500m,製造,YC-08,28.12,50.5,0.9,120.0,122.14,1020.5,760,0.01128,89.05,False,A
SC0002616,1200m,製造,YC-08,28.93,50.8,0.9,120.44,122.44,1021.1,2426,0.01433,89.08,True,A
SC0002617,1500m,製造,YC-08,27.89,50.4,0.9,120.05,122.01,1020.1,674,0.01067,89.02,True,A
SC0002618,1200m,製造,YC-08,27.5,50.2,0.9,120.0,122.01,1020.0,379,0.01023,89.04,False,A
SC0002619,1200m,製造,YC-08,28.28,50.6,0.9,120.05,122.05,1020.2,977,0.01078,89.03,False,A
SC0002620,1200m,製造,YC-08,28.12,50.4,0.9,120.0,122.09,1020.2,656,0.01052,89.1,False,A
SC0002621,1000m,製造,YC-08,28.06,51.5,0.9,120.21,122.43,1021.8,2426,0.01457,89.09,False,A
SC0002622,1000m,製造,YC-08,30.18,51.5,0.9,120.09,122.09,1020.2,2426,0.01433,89.08,True,A
SC0002623,300m,製造,YC-08,29.18,51.0,0.9,120.05,122.01,1020.2,1662,0.0133,89.04,False,A
SC0002624,1200m,製造,YC-08,28.76,50.8,0.9,120.0,122.01,1020.1,1341,0.012,89.04,False,A
SC0002625,1500m,製造,YC-08,27.36,50.3,0.9,120.0,122.09,1020.3,448,0.01036,89.05,False,A
SC0002626,1000m,製造,YC-08,29.54,51.2,0.9,120.11,122.23,1020.3,2358,0.01212,89.1,False,A
SC0002627,1000m,製造,YC-08,27.61,50.6,0.9,120.01,122.01,1020.0,734,0.01073,89.03,False,A
SC0002628,300m,製造,YC-08,30.18,51.5,0.9,120.02,122.04,1020.1,2426,0.01409,89.07,False,A
SC0002629,1200m,製造,YC-08,28.33,50.6,0.9,120.0,122.33,1022.5,1010,0.0117,89.04,False,A
SC0002630,500m,製造,YC-08,27.82,50.4,0.9,120.05,122.02,1020.1,621,0.01124,89.04,False,A
SC0002631,500m,製造,YC-08,28.97,50.9,0.9,120.05,122.01,1020.2,1504,0.01328,89.05,False,A
SC0002632,1200m,製造,YC-08,28.46,50.5,0.9,120.05,122.09,1020.2,795,0.01118,89.03,False,A
SC0002633,500m,製造,YC-08,28.23,50.6,0.9,120.0,122.01,1020.2,934,0.01213,89.03,False,A
SC0002634,1200m,製造,YC-08,29.63,51.0,0.9,120.0,122.05,1020.2,1246,0.01173,89.08,False,A
SC0002635,300m,製造,YC-08,30.18,51.5,0.9,120.11,122.22,1020.4,2426,0.0124,89.07,False,A
SC0002636,1500m,製造,YC-08,27.67,51.0,0.902,120.39,122.15,1020.4,1541,0.01138,89.13,False,A
SC0002637,1500m,製造,YC-08,29.54,51.2,0.9,120.22,122.04,1020.6,1940,0.01173,89.14,False,A
SC0002638,500m,製造,YC-08,27.66,51.3,0.9,120.0,122.09,1020.2,2079,0.01268,89.07,False,A
SC0002639,500m,製造,YC-08,29.22,51.0,0.9,120.31,122.31,1020.7,1834,0.01368,89.07,False,A
SC0002640,1200m,製造,YC-08,27.06,50.2,0.9,120.05,122.05,1020.4,275,0.01049,89.06,False,A
SC0002641,1000m,製造,YC-08,28.45,50.3,0.9,120.0,122.05,1020.2,414,0.0104,89.04,False,A
