ロット番号,塗布長,種別,号機,コーター部温度,コーター部相対湿度,ポンプ圧力,乾燥ゾーン1温度,乾燥ゾーン2温度,UV照度,ランプ点灯時間,チャンバー内O2濃度,UVロール温度,ブリードアウト
SC0000633,1200m,製造,YC-08,28.73,50.8,0.9,120.0,122.16,1021.2,1315,0.01157,89.09,False
SC0000634,1000m,製造,YC-08,29.15,51.0,0.9,120.06,122.0,1020.0,1640,0.01114,89.05,False
SC0000635,500m,製造,YC-08,28.73,50.7,0.9,120.05,122.03,1020.2,1246,0.01148,89.08,True
SC0000636,1200m,製造,YC-08,28.54,50.6,0.9,120.03,122.01,1020.1,812,0.01202,89.04,False
SC0000637,1200m,研究所テスト,YC-08,28.45,50.7,0.9,120.0,122.13,1020.2,1107,0.01121,89.04,True
SC0000638,1000m,製造,YC-08,27.98,50.5,0.9,120.0,122.07,1020.1,746,0.01037,89.03,True
SC0000639,1200m,製造,YC-08,27.27,50.1,0.9,120.0,122.21,1020.4,205,0.01023,89.05,False
SC0000640,1200m,製造,YC-08,28.33,50.6,0.9,120.0,122.06,1020.1,1010,0.0105,89.05,False
SC0000641,1200m,試作品,YC-08,27.6,50.3,0.9,120.05,122.05,1020.3,455,0.01095,89.04,False
SC0000642,1000m,製造,YC-08,27.76,50.4,0.9,120.01,122.01,1020.0,575,0.01046,89.02,True
SC0000643,300m,製造,YC-08,29.15,51.0,0.9,120.0,122.05,1020.1,1640,0.01081,89.04,False
SC0000644,1000m,製造,YC-08,29.97,51.3,0.9,120.18,122.36,1021.2,2079,0.01288,89.07,False
SC0000645,1000m,試作品,YC-08,27.25,50.1,0.9,120.09,122.05,1020.2,170,0.01028,89.06,False
SC0000646,1000m,製造,YC-08,28.46,51.0,0.9,120.0,122.03,1020.2,1593,0.01174,89.1,False
SC0000647,1500m,製造,YC-08,27.45,50.2,0.9,120.0,122.06,1020.9,344,0.01034,89.11,False
SC0000648,1000m,製造,YC-08,27.22,50.2,0.9,120.08,122.14,1020.2,344,0.01017,89.05,False
SC0000649,1000m,製造,YC-08,29.41,50.5,0.9,120.01,122.01,1020.0,830,0.01058,89.04,False
SC0000650,1000m,製造,YC-08,28.44,50.6,0.9,120.08,122.1,1020.5,749,0.0108,89.07,False
SC0000651,1500m,製造,YC-08,28.81,50.9,0.9,120.15,122.29,1020.6,1107,0.01132,89.07,False
SC0000652,300m,製造,YC-08,28.06,51.5,0.9,120.89,122.59,1021.6,2426,0.01313,89.12,False
SC0000653,1000m,製造,YC-08,29.36,51.1,0.9,120.0,122.09,1020.2,1799,0.01107,89.05,False
SC0000654,1000m,製造,YC-08,28.6,51.0,0.9,120.0,122.09,1020.2,1551,0.01169,89.11,False
SC0000655,1500m,製造,YC-08,27.7,50.3,0.9,120.0,122.0,1020.0,535,0.01032,89.06,False
SC0000656,1500m,製造,YC-08,27.45,50.2,0.9,120.0,122.09,1020.2,344,0.01024,89.08,False
SC0000657,1000m,製造,YC-08,28.69,50.8,0.9,120.05,122.04,1020.1,1284,0.01064,89.04,False
SC0000658,1200m,製造,YC-08,27.85,50.4,0.9,120.0,122.0,1020.0,663,0.0104,89.03,True
SC0000659,1000m,製造,YC-08,27.82,50.4,0.9,120.04,122.01,1020.1,621,0.01062,89.03,False
SC0000660,1500m,製造,YC-08,27.73,50.3,0.9,120.09,122.04,1020.5,552,0.01055,89.06,False
SC0000661,1500m,製造,YC-08,28.9,50.8,0.9,120.51,122.2,1021.5,1324,0.01131,89.07,False
SC0000662,500m,製造,YC-08,28.73,50.7,0.9,120.11,122.07,1020.2,1142,0.01125,89.07,False
SC0000663,1200m,製造,YC-08,28.02,50.4,0.9,120.04,122.04,1020.2,691,0.01089,89.02,True
SC0000664,300m,製造,YC-08,27.36,50.2,0.9,120.01,122.0,1020.0,275,0.01016,89.03,False
SC0000665,1200m,製造,YC-08,28.32,50.4,0.901,120.0,122.54,1021.2,691,0.01103,89.09,False
SC0000666,1200m,製造,YC-08,29.27,51.1,0.9,120.0,122.04,1020.7,1732,0.01189,89.05,False
SC0000667,1200m,製造,YC-08,29.18,51.0,0.9,120.2,122.2,1021.1,1662,0.01198,89.09,False
SC0000668,1000m,製造,YC-08,27.36,50.2,0.9,120.09,122.05,1020.2,275,0.01063,89.07,False
SC0000669,1200m,製造,YC-08,30.28,51.1,0.9,120.11,122.02,1020.2,1836,0.01328,89.07,False
SC0000670,1200m,製造,YC-08,27.44,50.2,0.9,120.0,122.02,1020.0,330,0.01023,89.04,False
SC0000671,1200m,製造,YC-08,28.07,50.4,0.9,120.29,122.14,1020.7,413,0.01049,89.04,False
SC0000672,500m,試作品,YC-08,28.45,50.7,0.9,120.05,122.01,1020.1,1107,0.01132,89.03,False
SC0000673,1200m,製造,YC-08,28.56,50.6,0.9,120.01,122.01,1020.0,1303,0.01116,89.07,True
SC0000674,1200m,製造,YC-08,28.28,50.7,0.9,120.0,122.15,1020.5,1145,0.01125,89.06,False
SC0000675,500m,製造,YC-08,29.23,50.9,0.9,120.03,122.01,1020.0,691,0.01048,89.03,False
SC0000676,100m,研究所テスト,YC-08,29.35,50.9,0.9,120.0,122.0,1020.0,1792,0.01071,89.07,False
SC0000677,1000m,製造,YC-08,28.24,50.6,0.9,120.19,122.19,1020.3,941,0.01131,89.05,False
SC0000678,500m,製造,YC-08,30.18,51.5,0.9,120.81,122.81,1023.3,2426,0.01433,89.13,False
SC0000679,1200m,製造,YC-08,31.34,51.0,0.9,120.12,122.22,1020.5,1680,0.01183,89.05,False
SC0000680,1000m,製造,YC-08,28.88,50.9,0.9,120.03,122.01,1020.0,1432,0.01128,89.05,False
SC0000681,500m,製造,YC-08,29.14,51.0,0.9,120.01,122.01,1020.0,1628,0.01145,89.1,False
SC0000682,1500m,製造,YC-08,27.81,50.4,0.9,120.03,122.01,1020.1,613,0.01073,89.03,True
SC0000683,1000m,製造,YC-08,31.83,51.0,0.9,120.0,122.03,1020.1,1579,0.01125,89.04,False
SC0000684,500m,製造,YC-08,28.08,50.3,0.9,120.05,122.05,1020.1,483,0.01053,89.05,False
SC0000685,1500m,製造,YC-08,28.73,50.6,0.9,120.29,122.14,1020.4,968,0.01144,89.05,True
SC0000686,1200m,製造,YC-08,28.73,50.8,0.9,120.0,122.02,1020.0,1321,0.01118,89.04,False
SC0000687,1500m,製造,YC-08,27.73,50.3,0.9,120.0,122.05,1020.3,552,0.01033,89.04,False
SC0000688,1200m,製造,YC-08,28.74,50.8,0.9,120.12,122.09,1020.6,1329,0.01198,89.04,False
SC0000689,1000m,製造,YC-08,28.59,50.6,0.9,120.16,122.03,1020.2,830,0.01066,89.08,False
SC0000690,1500m,製造,YC-08,28.01,51.0,0.9,120.01,122.01,1020.0,1688,0.01084,89.05,True
SC0000691,1200m,製造,YC-08,28.93,50.6,0.9,120.0,122.01,1020.2,968,0.01096,89.18,False
SC0000692,1000m,製造,YC-08,30.37,51.3,0.9,120.01,122.0,1020.0,2426,0.01168,89.1,False
SC0000693,1000m,製造,YC-08,27.18,50.1,0.9,120.0,122.0,1020.0,136,0.01008,89.02,False
SC0000694,1500m,製造,YC-08,28.08,51.2,0.9,120.05,122.09,1020.2,1940,0.01269,89.13,True
SC0000695,1500m,製造,YC-08,27.4,50.2,0.9,120.0,122.0,1020.0,301,0.01015,89.01,False
SC0000696,1000m,製造,YC-08,28.08,50.5,0.9,120.14,122.01,1020.1,819,0.01081,89.02,True
SC0000697,1200m,製造,YC-08,27.78,50.4,0.9,120.0,122.01,1020.2,592,0.01047,89.02,True
SC0000698,1200m,試作品,YC-08,27.39,52.0,0.9,120.16,122.31,1020.9,1940,0.01173,89.09,False
SC0000699,1200m,製造,YC-08,27.73,50.3,0.9,120.0,122.0,1020.1,830,0.01066,89.11,False
SC0000700,1000m,製造,YC-08,28.09,50.5,0.9,120.02,122.01,1020.1,830,0.01132,89.06,False
SC0000701,1200m,製造,YC-08,27.91,50.4,0.9,120.0,122.01,1020.0,691,0.01062,89.05,True
SC0000702,1000m,製造,YC-08,29.73,51.3,0.9,121.02,122.2,1022.0,2079,0.01288,89.14,False
SC0000703,1000m,製造,YC-08,27.67,50.2,0.9,120.09,122.02,1020.2,240,0.01024,89.03,False
SC0000704,1500m,試作品,YC-08,28.16,50.9,0.9,120.0,122.03,1020.0,1385,0.01082,89.11,False
SC0000705,1500m,製造,YC-08,28.36,50.6,0.9,120.0,122.02,1020.1,1038,0.01041,89.04,False
SC0000706,1200m,製造,YC-08,28.45,50.7,0.9,120.0,122.01,1020.2,1107,0.01055,89.1,False
SC0000707,1500m,製造,YC-08,27.64,50.3,0.9,120.0,122.0,1020.0,483,0.01029,89.05,False
SC0000708,1000m,製造,YC-08,28.09,50.5,0.9,120.09,122.05,1020.1,830,0.01049,89.04,False
SC0000709,1000m,製造,YC-08,28.46,50.4,0.9,120.0,122.0,1020.0,639,0.01082,89.03,False
SC0000710,1200m,製造,YC-08,27.86,50.4,0.9,120.0,122.14,1020.2,656,0.01039,89.05,False
SC0000711,1000m,製造,YC-08,27.55,50.3,0.9,120.0,122.01,1020.2,413,0.01037,89.04,False
SC0000712,1500m,製造,YC-08,29.03,50.9,0.9,120.0,122.37,1021.0,1376,0.01137,89.05,False
SC0000713,500m,製造,YC-08,28.45,50.6,0.9,120.07,122.01,1020.2,1107,0.01066,89.05,False
SC0000714,1200m,製造,YC-08,27.21,50.3,0.9,120.0,122.04,1020.1,441,0.0104,89.04,False
SC0000715,500m,製造,YC-08,27.64,50.2,0.9,120.04,122.02,1020.1,733,0.01109,89.05,False
SC0000716,1000m,試作品,YC-08,27.03,50.2,0.9,120.0,122.05,1020.3,330,0.01043,89.05,False
SC0000717,1500m,製造,YC-08,29.48,51.0,0.9,120.23,122.33,1021.3,830,0.01124,89.15,False
SC0000718,1200m,製造,YC-08,29.31,50.9,0.9,120.0,122.25,1020.6,830,0.01074,89.05,False
SC0000719,1000m,製造,YC-08,28.45,50.9,0.9,120.18,122.36,1021.1,1454,0.01231,89.09,False
SC0000720,300m,製造,YC-08,27.81,,0.9,120.47,122.31,1020.9,1697,0.01202,89.09,False
SC0000721,1500m,製造,YC-08,27.91,50.4,0.9,120.04,122.01,1020.2,691,0.01055,89.03,False
SC0000722,500m,製造,YC-08,29.74,50.6,0.9,120.0,122.09,1020.1,1026,0.01102,89.03,False
SC0000723,1200m,製造,YC-08,27.5,50.4,0.9,120.05,122.06,1020.3,691,0.01062,89.1,False
SC0000724,1200m,製造,YC-08,29.04,51.0,0.9,120.0,122.17,1020.3,1551,0.01246,89.05,False
SC0000725,1200m,製造,YC-08,29.27,51.1,0.9,120.0,122.03,1020.4,1732,0.0112,89.11,False
SC0000726,1200m,製造,YC-08,27.33,50.2,0.9,120.05,122.05,1020.1,249,0.01022,89.02,False
SC0000727,1000m,製造,YC-08,27.19,50.2,0.9,120.0,122.01,1020.2,344,0.01045,89.05,False
SC0000728,1000m,製造,YC-08,28.05,50.5,0.9,120.0,122.02,1020.0,795,0.01126,89.03,False
SC0000729,1200m,製造,YC-08,27.91,50.4,0.9,120.0,122.04,1020.1,691,0.01062,89.13,False
SC0000730,500m,製造,YC-08,27.73,50.3,0.9,120.03,122.03,1020.1,552,0.01033,89.09,False
SC0000731,1200m,製造,YC-08,27.72,50.3,0.9,120.03,122.01,1020.1,691,0.01082,89.02,True
SC0000732,1000m,製造,YC-08,29.12,50.8,0.9,120.04,122.05,1020.4,501,0.0113,89.02,False
SC0000733,1000m,製造,YC-08,28.69,51.4,0.9,120.1,122.04,1020.5,2240,0.01289,89.09,False
SC0000734,1200m,製造,YC-08,28.82,50.9,0.9,120.0,122.09,1020.3,1385,0.0111,89.08,False
SC0000735,1200m,製造,YC-08,28.74,50.8,0.9,120.0,122.09,1020.2,1322,0.01184,89.07,False
SC0000736,1200m,製造,YC-08,27.17,50.1,0.9,120.0,122.02,1020.4,170,0.01039,89.12,False
SC0000737,500m,製造,YC-08,27.95,50.4,0.9,120.0,122.01,1020.2,726,0.01079,89.03,False
SC0000738,1500m,製造,YC-08,28.39,50.7,0.9,120.27,122.05,1021.2,1055,0.01115,89.06,False
SC0000739,100m,研究所テスト,YC-08,28.82,50.9,0.9,120.14,122.28,1020.8,1385,0.01192,89.08,False
SC0000740,1200m,製造,YC-08,27.64,50.3,0.9,120.0,122.02,1020.0,483,0.01029,89.03,False
SC0000741,1000m,製造,YC-08,29.0,51.1,0.9,120.0,122.04,1020.6,1732,0.01189,89.12,False
SC0000742,1200m,製造,YC-08,28.23,50.6,0.9,120.0,122.15,1020.2,1045,0.01083,89.06,False
SC0000743,1200m,製造,YC-08,27.53,50.1,0.9,120.0,122.09,1020.0,205,0.01008,89.07,False
SC0000744,500m,製造,YC-08,28.37,50.6,0.9,120.0,122.0,1020.0,1041,0.01062,89.03,False
SC0000745,1200m,製造,YC-08,27.5,50.6,0.9,120.0,122.02,1020.7,1038,0.01206,89.05,False
SC0000746,1000m,製造,YC-08,29.47,51.0,0.9,120.0,122.0,1020.0,1107,0.01099,89.04,False
SC0000747,1500m,試作品,YC-08,28.23,50.6,0.9,120.0,122.01,1020.0,934,0.01046,89.03,False
SC0000748,1200m,製造,YC-08,29.18,51.0,0.9,120.0,122.07,1020.1,1662,0.01115,89.07,False
SC0000749,300m,製造,YC-08,28.3,50.6,0.9,120.02,122.01,1020.1,909,0.01063,89.05,False
SC0000750,1200m,製造,YC-08,27.85,50.3,0.9,120.02,122.03,1020.1,691,0.01062,89.06,False
SC0000751,1200m,製造,YC-08,28.87,50.7,0.9,120.21,122.38,1021.3,1385,0.01151,89.1,False
SC0000752,500m,製造,YC-08,28.79,50.8,0.9,120.17,122.11,1020.2,1367,0.01271,89.04,False
SC0000753,1200m,製造,YC-08,27.52,50.1,0.9,120.0,122.1,1020.3,177,0.01012,89.04,False
SC0000754,1000m,製造,YC-08,29.86,51.1,0.9,120.0,122.06,1020.2,1180,0.01105,89.03,False
SC0000755,1500m,製造,YC-08,29.0,50.9,0.9,120.0,122.16,1020.5,1524,0.01166,89.05,True
SC0000756,1200m,製造,YC-08,29.27,51.1,0.9,120.37,122.37,1021.2,1732,0.01086,89.05,False
SC0000757,300m,製造,YC-08,29.79,51.1,0.9,120.0,122.09,1020.1,1274,0.01076,89.08,False
SC0000758,1500m,製造,YC-08,28.82,50.9,0.9,120.05,122.05,1020.4,1385,0.01261,89.07,False
SC0000759,1500m,製造,YC-08,27.46,50.3,0.9,120.0,122.01,1020.0,413,0.01025,89.02,False
SC0000760,1000m,製造,YC-08,27.26,50.1,0.9,120.11,122.11,1020.5,205,0.01014,89.03,False
SC0000761,1000m,製造,YC-08,28.53,50.7,0.9,120.0,122.02,1020.0,1163,0.01069,89.04,False
SC0000762,1500m,研究所テスト,YC-08,27.88,50.9,0.9,120.06,122.06,1020.2,1385,0.01343,89.11,True
SC0000763,1200m,製造,YC-08,27.28,50.1,0.9,120.0,122.27,1020.6,790,0.01118,89.03,False
SC0000764,300m,製造,YC-08,30.66,52.6,0.9,120.42,122.14,1021.0,2426,0.01505,89.15,False
SC0000765,1500m,製造,YC-08,27.27,50.1,0.9,120.02,122.04,1020.0,205,0.01014,89.06,False
SC0000766,1200m,製造,YC-08,28.57,50.4,0.9,120.0,122.03,1020.0,691,0.01055,89.04,False
SC0000767,1200m,製造,YC-08,28.49,50.7,0.9,120.16,122.13,1020.4,1137,0.01135,89.03,True
SC0000768,500m,製造,YC-08,27.55,50.3,0.9,120.0,122.01,1020.1,413,0.01054,89.04,False
SC0000769,500m,製造,YC-08,29.12,51.0,0.9,120.18,122.04,1020.8,2426,0.01337,89.13,False
SC0000770,500m,試作品,YC-08,27.51,50.1,0.9,120.32,122.32,1021.1,205,0.01031,89.11,False
SC0000771,1200m,製造,YC-08,29.73,51.3,0.9,121.04,122.14,1022.4,2079,0.01309,89.1,False
SC0000772,500m,製造,YC-08,28.57,50.7,0.9,120.0,122.0,1020.0,1194,0.01071,89.03,False
SC0000773,300m,製造,YC-08,28.68,50.8,0.9,120.19,122.3,1020.6,1281,0.01152,89.06,False
SC0000774,1000m,製造,YC-08,27.69,50.3,0.9,120.0,122.1,1020.3,521,0.01036,89.02,True
SC0000775,1200m,製造,YC-08,29.14,51.0,0.9,120.14,122.02,1020.1,1628,0.01161,89.05,False
SC0000776,1500m,製造,YC-08,28.36,50.6,0.9,120.09,122.05,1020.1,1038,0.01103,89.07,False
SC0000777,1000m,製造,YC-08,27.73,50.3,0.9,120.02,122.02,1020.0,552,0.01044,89.04,False
SC0000778,1200m,製造,YC-08,28.1,50.4,0.9,120.04,122.01,1020.1,483,0.01082,89.07,False
SC0000779,1000m,製造,YC-08,30.98,51.5,0.9,120.06,122.01,1020.4,1315,0.01209,89.05,False
SC0000780,1000m,製造,YC-08,27.3,50.1,0.9,120.07,122.03,1020.5,1246,0.0121,89.08,False
SC0000781,1500m,製造,YC-08,27.67,50.3,0.9,120.01,122.01,1020.0,509,0.01046,89.03,False
SC0000782,500m,製造,YC-08,27.59,50.3,0.9,120.0,122.02,1020.1,448,0.01031,89.03,False
SC0000783,1500m,試作品,YC-08,28.82,50.9,0.9,120.05,122.05,1020.1,1385,0.01179,89.05,False
SC0000784,1200m,製造,YC-08,27.45,50.1,0.9,120.0,122.14,1020.2,164,0.01016,89.03,False
SC0000785,1000m,製造,YC-08,27.74,50.4,0.9,120.04,122.01,1020.0,691,0.01055,89.04,False
SC0000786,1000m,製造,YC-08,27.8,50.4,0.9,120.0,122.01,1020.0,608,0.01066,89.03,False
SC0000787,1200m,製造,YC-08,27.55,50.3,0.9,120.0,122.02,1020.1,413,0.01066,89.04,False
SC0000788,1000m,製造,YC-08,28.96,50.9,0.9,120.15,122.03,1021.0,1492,0.01296,89.06,True
SC0000789,1500m,製造,YC-08,28.99,50.9,0.9,120.0,122.63,1021.4,1513,0.0118,89.07,False
SC0000790,1500m,試作品,YC-08,30.18,51.5,0.9,120.0,122.09,1020.2,2426,0.01144,89.13,False
SC0000791,1000m,製造,YC-08,30.16,51.5,0.9,120.39,122.79,1021.4,2412,0.01311,89.26,False
SC0000792,1200m,製造,YC-08,29.27,51.1,0.9,120.67,122.19,1020.7,1732,0.01069,89.1,False
SC0000793,1200m,製造,YC-08,28.2,50.6,0.9,120.0,122.11,1020.3,913,0.01054,89.06,False
SC0000794,1500m,試作品,YC-08,27.6,50.3,0.9,120.09,122.01,1020.1,517,0.01031,89.05,False
SC0000795,1200m,製造,YC-08,27.82,50.4,0.9,120.0,122.04,1020.3,621,0.01074,89.03,False
SC0000796,1200m,製造,YC-08,27.52,50.2,0.9,120.0,122.04,1020.0,396,0.01012,89.05,False
SC0000797,1000m,製造,YC-08,29.73,51.3,0.9,120.0,122.07,1020.1,2079,0.01165,89.06,False
SC0000798,1200m,製造,YC-08,27.86,50.4,0.9,120.0,122.01,1020.0,653,0.01065,89.02,False
SC0000799,1200m,製造,YC-08,27.41,50.2,0.9,120.37,122.37,1021.3,465,0.0107,89.05,False
SC0000800,1500m,製造,YC-08,29.31,51.1,0.9,120.05,122.05,1020.3,1763,0.01262,89.05,False
SC0000801,1200m,製造,YC-08,27.64,50.3,0.9,120.05,122.02,1020.1,483,0.01034,89.03,False
SC0000802,1000m,研究所テスト,YC-08,28.16,50.4,0.9,120.01,122.03,1020.1,691,0.01089,89.04,False
SC0000803,1500m,製造,YC-08,27.25,50.1,0.9,120.0,122.17,1021.1,448,0.01049,89.08,False
SC0000804,1200m,製造,YC-08,28.12,50.5,0.9,120.0,122.13,1020.2,850,0.01059,89.04,False
SC0000805,500m,製造部テスト,YC-08,29.73,51.3,0.9,120.0,122.01,1020.1,2079,0.01268,89.08,True
SC0000806,1200m,製造,YC-08,28.59,50.8,0.9,120.0,122.02,1020.4,1211,0.01144,89.05,False
SC0000807,100m,研究所テスト,YC-08,28.12,51.5,0.9,120.01,122.02,1020.1,2353,0.01233,89.06,False
SC0000808,500m,製造,YC-08,30.28,51.9,0.9,120.13,122.16,1020.8,1836,0.01218,89.07,False
SC0000809,500m,製造,YC-08,27.57,50.2,0.9,120.03,122.03,1020.1,366,0.01037,89.07,False
SC0000810,1200m,研究所テスト,YC-08,29.97,51.3,0.9,120.32,122.28,1020.8,2021,0.0122,89.05,True
SC0000811,1500m,製造,YC-08,29.18,50.8,0.9,120.34,122.11,1020.4,1246,0.01136,89.05,True
SC0000812,1200m,製造,YC-08,27.38,50.2,0.9,120.0,122.0,1020.0,288,0.01009,89.03,False
SC0000813,1500m,製造,YC-08,27.61,50.2,0.9,120.0,122.04,1020.2,288,0.01049,89.03,False
SC0000814,1200m,製造,YC-08,29.51,50.7,0.901,120.0,122.47,1020.8,1107,0.01099,89.13,False
SC0000815,100m,製造,YC-08,28.24,50.6,0.9,120.05,122.04,1020.2,941,0.01103,89.11,False
SC0000816,1200m,製造,YC-08,28.79,50.4,0.9,120.0,122.05,1020.1,691,0.01041,89.03,True
SC0000817,1200m,製造,YC-08,28.03,50.5,0.9,120.01,122.01,1020.0,783,0.01047,89.03,False
SC0000818,1500m,製造,YC-08,27.6,50.3,0.9,120.0,122.05,1020.1,457,0.01023,89.02,False
SC0000819,1200m,製造,YC-08,28.6,50.8,0.9,120.05,122.01,1020.2,1218,0.01157,89.05,False
SC0000820,1200m,製造,YC-08,27.94,50.4,0.9,120.0,122.03,1020.1,691,0.01062,89.05,False
SC0000821,1500m,製造,YC-08,27.93,50.2,0.9,120.05,122.05,1020.1,351,0.01035,89.02,False
SC0000822,300m,製造,YC-08,29.48,51.2,0.9,120.05,122.04,1020.1,1891,0.0115,89.08,False
SC0000823,1500m,製造,YC-08,27.55,50.3,0.9,120.17,122.1,1020.2,413,0.01033,89.05,False
SC0000824,1000m,製造,YC-08,27.46,50.2,0.9,120.0,122.0,1020.0,347,0.01042,89.05,False
SC0000825,1000m,製造,YC-08,30.76,51.5,0.9,120.26,122.31,1021.6,1454,0.01188,89.14,False
SC0000826,1500m,製造,YC-08,29.54,51.2,0.9,121.08,122.32,1025.7,1940,0.02,89.16,False
SC0000827,1000m,製造,YC-08,27.5,50.2,0.9,120.14,122.05,1020.1,379,0.01026,89.03,True
SC0000828,1500m,製造,YC-08,27.55,50.3,0.9,120.02,122.03,1020.0,413,0.01021,89.04,False
SC0000829,1200m,製造,YC-08,29.0,50.9,0.9,120.0,122.05,1020.3,1524,0.01151,89.05,False
SC0000830,1200m,製造,YC-08,27.3,50.2,0.9,120.0,122.01,1020.0,691,0.01041,89.04,False
SC0000831,1200m,製造,YC-08,27.63,50.5,0.9,120.0,122.05,1020.1,830,0.01049,89.04,False
SC0000832,1200m,製造,YC-08,27.36,50.2,0.9,120.11,122.21,1020.4,275,0.0103,89.06,False
SC0000833,1000m,製造,YC-08,28.45,50.7,0.9,120.14,122.04,1020.2,1107,0.01154,89.05,False
SC0000834,300m,製造,YC-08,29.23,51.0,0.9,120.0,122.05,1020.2,1697,0.01303,89.07,True
SC0000835,1000m,製造,YC-08,28.58,51.1,0.9,120.32,122.19,1021.4,1732,0.01464,89.07,False
SC0000836,1200m,製造,YC-08,28.12,50.5,0.9,120.05,122.01,1020.2,850,0.01118,89.05,False
SC0000837,1000m,製造,YC-08,29.15,50.5,0.9,120.09,122.18,1020.2,739,0.01037,89.03,False
SC0000838,500m,製造,YC-08,28.07,50.4,0.9,120.0,122.43,1021.2,1579,0.01219,89.05,True
SC0000839,1500m,製造,YC-08,29.03,50.7,0.9,120.05,122.04,1020.1,1107,0.01077,89.08,True
SC0000840,1000m,製造,YC-08,30.14,51.5,0.9,120.14,122.09,1020.2,2391,0.01237,89.1,False
SC0000841,1200m,製造,YC-08,27.97,50.5,0.9,120.09,122.05,1020.2,734,0.01109,89.03,False
SC0000842,1200m,製造,YC-08,29.22,51.4,0.9,120.0,122.04,1020.1,1137,0.01214,89.03,True
SC0000843,1000m,製造,YC-08,33.65,51.2,0.9,120.0,122.15,1020.5,2016,0.013,89.06,False
SC0000844,500m,製造,YC-08,28.02,50.4,0.9,120.0,122.01,1020.1,691,0.01055,89.03,False
SC0000845,1000m,製造,YC-08,28.59,50.7,0.9,120.0,122.01,1020.0,1210,0.01096,89.03,False
SC0000846,500m,試作品,YC-08,27.85,50.4,0.9,120.0,122.0,1020.0,691,0.01055,89.13,False
SC0000847,1500m,製造,YC-08,27.55,50.3,0.9,120.0,122.03,1020.1,413,0.01016,89.02,False
SC0000848,1200m,製造,YC-08,27.91,50.4,0.9,120.0,122.03,1020.2,691,0.01062,89.08,False
SC0000849,1000m,製造,YC-08,28.98,50.6,0.9,120.05,122.04,1020.3,1038,0.01155,89.04,False
SC0000850,300m,製造,YC-08,27.57,50.4,0.9,120.06,122.02,1020.2,1600,0.01095,89.06,False
SC0000851,1200m,製造,YC-08,28.76,50.7,0.9,120.0,122.11,1020.2,691,0.01076,89.11,False
SC0000852,1500m,製造,YC-08,28.45,50.7,0.9,120.2,122.39,1021.1,1179,0.01209,89.07,False
SC0000853,1000m,製造,YC-08,28.27,50.6,0.9,120.21,122.13,1020.6,968,0.01202,89.07,False
SC0000854,1200m,製造,YC-08,27.63,50.8,0.9,120.15,122.03,1020.8,1218,0.01193,89.05,False
SC0000855,500m,製造,YC-08,29.27,51.1,0.9,120.21,122.41,1020.6,1732,0.01155,89.05,False
SC0000856,1500m,製造,YC-08,27.25,50.1,0.9,120.0,122.43,1021.6,441,0.01044,89.06,False
SC0000857,1200m,製造,YC-08,27.1,50.5,0.9,120.05,122.07,1020.3,812,0.01048,89.12,False
SC0000858,1200m,製造,YC-08,27.51,50.4,0.9,120.0,122.0,1020.0,613,0.01037,89.02,False
SC0000859,1200m,製造,YC-08,28.45,50.7,0.9,120.0,122.09,1020.2,1107,0.0111,89.07,False
SC0000860,1000m,製造,YC-08,27.78,50.3,0.9,120.1,122.06,1020.4,1218,0.01181,89.08,False
SC0000861,500m,製造,YC-08,28.71,50.8,0.9,120.03,122.04,1020.2,1303,0.01168,89.04,False
SC0000862,500m,製造,YC-08,28.36,50.6,0.9,120.0,122.0,1020.1,1038,0.01134,89.03,False
SC0000863,300m,製造,YC-08,27.58,52.9,0.9,120.19,122.38,1020.9,2426,0.01481,89.15,False
SC0000864,1200m,製造,YC-08,28.82,50.9,0.9,120.27,122.09,1020.2,1385,0.01206,89.06,True
SC0000865,1000m,製造,YC-08,27.87,50.4,0.9,120.01,122.01,1020.1,663,0.01079,89.03,False
SC0000866,1000m,試作品,YC-08,27.82,50.4,0.9,120.02,122.02,1020.1,621,0.01049,89.03,False
SC0000867,1000m,製造,YC-08,30.41,51.3,0.9,120.16,122.03,1020.4,1454,0.0126,89.14,False
SC0000868,1200m,製造,YC-08,28.06,50.4,0.9,120.09,122.17,1020.4,684,0.01054,89.04,False
SC0000869,1000m,製造,YC-08,27.61,50.2,0.9,120.09,122.08,1020.1,275,0.01014,89.06,False
SC0000870,300m,製造,YC-08,34.52,51.5,0.9,120.05,122.06,1020.2,2426,0.01361,89.08,True
SC0000871,1500m,製造,YC-08,28.64,50.8,0.9,120.0,122.1,1020.3,1246,0.01161,89.04,False
SC0000872,1200m,製造,YC-08,31.36,50.9,0.9,120.0,122.39,1020.7,1524,0.01212,89.08,False
SC0000873,1200m,製造,YC-08,28.54,50.4,0.9,120.27,122.03,1020.9,691,0.01062,89.1,False
SC0000874,1500m,製造,YC-08,27.78,50.4,0.9,120.0,122.0,1020.1,592,0.01047,89.03,False
SC0000875,1200m,製造,YC-08,27.73,50.3,0.9,120.0,122.1,1020.2,552,0.01044,89.04,False
SC0000876,1200m,製造,YC-08,27.27,50.1,0.9,120.0,122.03,1020.1,613,0.01049,89.05,False
SC0000877,1200m,製造,YC-08,27.36,50.2,0.9,120.0,122.02,1020.1,330,0.0103,89.03,False
