ロット番号,塗布長,種別,号機,コーター部温度,コーター部相対湿度,ポンプ圧力,乾燥ゾーン1温度,乾燥ゾーン2温度,UV照度,ランプ点灯時間,チャンバー内O2濃度,UVロール温度,ブリードアウト,date_col,塗布材料
SC0011610,1500m,製造,YC-08,27.82,50.4,0.9,120.05,122.02,1020.2,621,0.01087,89.06,False,2025-03-18,A
SC0011611,1000m,製造,YC-08,27.62,50.3,0.9,120.0,122.01,1020.0,472,0.01028,89.03,False,2025-03-18,A
SC0011612,1000m,製造,YC-08,27.83,50.3,0.9,120.0,122.59,1021.3,1038,0.01144,89.1,False,2025-03-18,A
SC0011613,1500m,製造,YC-08,28.29,50.4,0.9,120.06,122.01,1020.3,683,0.01055,89.07,False,2025-03-18,A
SC0011614,500m,製造,YC-08,28.64,50.8,0.9,120.0,122.05,1021.7,1246,0.01173,89.06,False,2025-03-18,A
SC0011615,1000m,製造,YC-08,27.79,50.4,0.9,120.08,122.01,1020.2,601,0.01108,89.03,False,2025-03-18,A
SC0011616,1500m,製造,YC-08,27.91,50.4,0.9,120.0,122.0,1020.1,691,0.01076,89.03,False,2025-03-18,A
SC0011617,500m,製造,YC-08,29.1,51.0,0.9,120.02,122.02,1020.1,1600,0.01206,89.06,True,2025-03-18,B
SC0011618,500m,製造,YC-08,28.4,51.0,0.9,120.4,122.16,1020.8,1301,0.01116,89.05,False,2025-03-18,A
SC0011619,1200m,製造,YC-08,27.48,50.3,0.9,120.0,122.12,1020.4,552,0.01088,89.04,False,2025-03-18,A
SC0011620,1500m,製造,YC-08,28.36,50.6,0.9,120.0,122.07,1020.1,1038,0.01144,89.09,False,2025-03-18,A
SC0011621,1200m,製造,YC-08,29.35,50.5,0.9,120.0,122.01,1020.2,830,0.01074,89.07,False,2025-03-18,A
SC0011622,1500m,製造,YC-08,27.45,50.2,0.9,120.0,122.01,1020.0,344,0.01041,89.02,True,2025-03-18,A
SC0011623,1500m,製造,YC-08,27.73,50.3,0.9,120.08,122.01,1020.1,552,0.01077,89.05,False,2025-03-18,A
SC0011624,1200m,製造,YC-08,28.82,50.9,0.9,120.27,122.05,1021.8,1385,0.01179,89.12,False,2025-03-18,A
SC0011625,500m,製造,YC-08,30.37,50.7,0.9,120.03,122.02,1020.1,1177,0.01117,89.07,False,2025-03-18,A
SC0011626,1000m,製造,YC-08,27.29,50.3,0.9,120.14,122.05,1020.2,431,0.01021,89.03,True,2025-03-18,A
SC0011627,300m,製造,YC-08,28.34,50.6,0.9,120.0,122.0,1020.0,1020,0.01091,89.07,False,2025-03-18,A
SC0011628,100m,試作品,YC-08,27.7,50.8,0.9,120.0,122.02,1020.0,1260,0.01138,89.06,False,2025-03-18,A
SC0011629,300m,製造,YC-08,30.38,51.3,0.9,120.0,122.07,1020.1,1163,0.0115,89.06,False,2025-03-18,A
SC0011630,1500m,製造,YC-08,29.07,51.0,0.9,120.26,122.1,1021.6,1576,0.01313,89.07,False,2025-03-18,A
SC0011631,1000m,製造,YC-08,28.0,50.5,0.9,120.09,122.09,1020.1,760,0.01091,89.06,False,2025-03-18,A
SC0011632,1000m,製造,YC-08,30.05,51.4,0.9,120.0,122.09,1020.2,2328,0.01185,89.08,False,2025-03-18,A
SC0011633,1200m,製造,YC-08,28.03,50.5,0.9,120.0,122.01,1020.0,783,0.01023,89.03,False,2025-03-18,A
SC0011634,1200m,製造,YC-08,29.18,51.0,0.9,120.03,122.02,1020.2,1662,0.01214,89.07,True,2025-03-18,A
SC0011635,500m,製造,YC-08,27.06,50.5,0.9,120.0,122.0,1020.0,795,0.01063,89.05,False,2025-03-18,A
SC0011636,1500m,製造,YC-08,28.01,50.5,0.9,120.0,122.07,1020.2,771,0.01084,89.04,False,2025-03-18,A
SC0011637,1500m,製造,YC-08,28.15,50.5,0.9,120.12,122.12,1020.6,875,0.01087,89.06,True,2025-03-18,A
SC0011638,1500m,製造,YC-08,28.09,50.5,0.9,120.05,122.04,1020.0,830,0.01016,89.09,False,2025-03-18,A
SC0011639,1200m,製造,YC-08,27.77,50.4,0.9,120.01,122.02,1020.0,691,0.01069,89.03,False,2025-03-18,A
SC0011640,1200m,製造,YC-08,27.95,50.4,0.9,120.22,122.04,1020.5,1038,0.01103,89.08,False,2025-03-18,A
SC0011641,1500m,製造,YC-08,27.13,50.1,0.9,120.0,122.35,1021.0,543,0.01065,89.05,True,2025-03-18,B
SC0011642,1000m,製造,YC-08,27.96,50.4,0.9,120.0,122.0,1020.0,413,0.01016,89.03,False,2025-03-18,A
SC0011643,1200m,製造,YC-08,28.35,50.6,0.9,120.0,122.0,1020.1,1026,0.01204,89.11,False,2025-03-18,A
SC0011644,1200m,製造,YC-08,28.53,50.6,0.9,120.0,122.02,1020.5,150,0.01099,89.01,False,2025-03-18,A
SC0011645,1000m,製造,YC-08,28.21,50.5,0.9,120.01,122.02,1020.1,1385,0.01192,89.04,False,2025-03-18,A
SC0011646,500m,試作品,YC-08,27.91,50.4,0.9,120.0,122.4,1020.5,691,0.01069,89.06,False,2025-03-18,A
SC0011647,1200m,製造,YC-08,28.45,50.7,0.9,120.0,122.09,1020.2,1107,0.01099,89.03,True,2025-03-18,A
SC0011648,500m,製造,YC-08,27.91,50.4,0.9,120.01,122.01,1020.0,691,0.01034,89.03,True,2025-03-18,A
SC0011649,1200m,製造,YC-08,27.18,50.8,0.9,120.0,122.35,1020.8,760,0.01083,89.05,False,2025-03-18,A
SC0011650,1000m,製造,YC-08,27.56,50.3,0.9,120.0,122.01,1020.0,413,0.01029,89.02,False,2025-03-18,A
SC0011651,1200m,製造,YC-08,27.73,50.3,0.901,120.0,122.0,1020.0,413,0.01029,89.04,False,2025-03-18,A
SC0011652,1200m,製造,YC-08,29.41,50.8,0.9,120.0,122.44,1021.2,1315,0.01157,89.06,False,2025-03-18,A
SC0011653,1000m,製造,YC-08,27.91,50.4,0.9,120.0,122.05,1020.1,691,0.01062,89.04,False,2025-03-18,A
SC0011654,1500m,製造,YC-08,28.0,50.5,0.9,120.0,122.11,1020.6,760,0.0106,89.09,False,2025-03-18,A
SC0011655,1000m,製造,YC-08,28.82,50.9,0.9,120.0,122.01,1020.2,1385,0.01206,89.06,False,2025-03-18,A
SC0011656,1500m,製造,YC-08,27.43,50.2,0.9,120.0,122.0,1020.0,262,0.01021,89.02,False,2025-03-18,A
SC0011657,1000m,製造,YC-08,27.76,50.4,0.9,120.07,122.07,1020.2,575,0.01103,89.02,False,2025-03-18,A
SC0011658,1500m,製造,YC-08,27.77,50.4,0.9,120.0,122.06,1020.5,587,0.01128,89.05,False,2025-03-18,A
SC0011659,500m,製造,YC-08,28.59,50.8,0.9,120.09,122.05,1020.1,1211,0.01144,89.04,False,2025-03-18,A
SC0011660,1200m,製造,YC-08,27.91,50.4,0.9,120.0,122.08,1020.3,691,0.01089,89.03,False,2025-03-18,A
SC0011661,500m,製造,YC-08,28.36,50.6,0.9,120.0,122.02,1020.0,1038,0.01144,89.04,True,2025-03-18,A
SC0011662,1500m,製造,YC-08,29.23,51.1,0.9,120.0,122.01,1020.1,1702,0.01084,89.05,True,2025-03-18,B
SC0011663,1200m,製造,YC-08,27.73,50.3,0.9,120.0,122.1,1020.4,552,0.0106,89.07,False,2025-03-18,A
SC0011664,1200m,製造,YC-08,29.0,50.9,0.901,120.0,122.17,1020.6,1524,0.01242,89.05,False,2025-03-18,A
SC0011665,1200m,製造,YC-08,27.7,50.3,0.9,120.0,122.49,1020.9,535,0.01053,89.08,False,2025-03-18,A
SC0011666,1200m,製造,YC-08,27.99,51.0,0.9,120.0,122.11,1020.4,1471,0.01102,89.04,False,2025-03-18,A
SC0011667,1200m,製造,YC-08,27.36,50.2,0.9,120.05,122.02,1020.1,275,0.01014,89.03,True,2025-03-18,A
SC0011668,1200m,製造,YC-08,28.3,50.6,0.9,120.05,122.09,1020.2,989,0.01098,89.05,False,2025-03-18,B
SC0011669,1000m,製造,YC-08,28.84,50.9,0.9,120.0,122.09,1020.1,1402,0.01236,89.05,False,2025-03-18,A
SC0011670,300m,製造,YC-08,27.15,50.1,0.9,120.02,122.0,1020.1,108,0.01014,89.03,False,2025-03-18,A
SC0011671,1200m,製造,YC-08,27.03,50.3,0.9,120.4,122.12,1021.2,413,0.01037,89.07,False,2025-03-18,A
SC0011672,1500m,製造,YC-08,27.53,50.3,0.9,120.0,122.02,1020.0,405,0.01028,89.02,False,2025-03-18,A
SC0011673,500m,製造,YC-08,27.41,50.6,0.9,120.0,122.07,1020.4,1038,0.01113,89.05,False,2025-03-18,A
SC0011674,1000m,製造,YC-08,27.87,50.4,0.9,120.02,122.03,1020.1,710,0.01072,89.05,False,2025-03-18,A
SC0011675,1200m,製造,YC-08,27.41,50.3,0.9,120.0,122.02,1020.7,469,0.01028,89.06,False,2025-03-18,A
SC0011676,1200m,製造,YC-08,27.31,50.2,0.9,120.0,122.01,1020.2,275,0.0106,89.05,True,2025-03-18,A
SC0011677,1200m,製造,YC-08,28.19,50.5,0.9,120.0,122.24,1021.8,1870,0.01167,89.1,True,2025-03-18,B
SC0011678,1200m,製造,YC-08,28.91,50.9,0.9,120.0,122.04,1021.2,1454,0.0126,89.08,False,2025-03-18,A
SC0011679,1200m,製造,YC-08,28.27,50.6,0.9,120.09,122.07,1020.2,968,0.01087,89.11,False,2025-03-18,A
SC0011680,1500m,製造,YC-08,27.55,50.3,0.9,120.0,122.1,1020.4,413,0.01033,89.03,False,2025-03-18,A
SC0011681,1200m,製造,YC-08,28.09,50.5,0.9,120.0,122.09,1020.2,830,0.01091,89.04,False,2025-03-18,A
SC0011682,1000m,製造,YC-08,28.14,50.4,0.9,120.0,122.05,1020.1,663,0.01053,89.03,False,2025-03-18,A
SC0011683,1200m,製造,YC-08,27.28,50.4,0.9,120.0,122.01,1020.2,691,0.01069,89.1,False,2025-03-18,A
SC0011684,1200m,製造,YC-08,29.09,50.8,0.9,120.0,122.04,1020.1,1350,0.01121,89.08,False,2025-03-18,A
SC0011685,1200m,製造,YC-08,29.16,50.5,0.9,120.0,122.04,1020.2,743,0.01096,89.04,False,2025-03-18,A
SC0011686,1200m,製造,YC-08,30.18,51.5,0.9,120.0,122.46,1020.9,2426,0.01288,89.15,False,2025-03-18,A
SC0011687,500m,製造,YC-08,27.55,50.3,0.9,120.09,122.01,1020.2,413,0.01103,89.04,False,2025-03-18,A
SC0011688,1000m,製造,YC-08,30.36,50.8,0.9,120.05,122.03,1020.1,1319,0.01092,89.07,False,2025-03-18,A
SC0011689,500m,製造,YC-08,28.02,50.5,0.9,120.0,122.02,1020.0,774,0.01031,89.03,False,2025-03-18,A
SC0011690,500m,製造,YC-08,27.44,50.1,0.9,120.17,122.17,1020.5,170,0.0101,89.04,False,2025-03-18,A
SC0011691,1000m,製造,YC-08,27.87,50.4,0.9,120.0,122.0,1020.0,663,0.01033,89.04,False,2025-03-18,A
SC0011692,1200m,製造,YC-08,28.82,50.9,0.9,120.05,122.01,1020.1,1385,0.01069,89.07,False,2025-03-18,A
SC0011693,1200m,製造,YC-08,27.46,50.2,0.905,120.0,122.42,1021.2,552,0.01066,89.06,False,2025-03-18,A
SC0011694,1200m,製造,YC-08,28.36,50.6,0.9,120.07,122.14,1020.2,1038,0.01103,89.04,True,2025-03-18,A
SC0011695,1500m,試作品,YC-08,27.27,50.1,0.9,120.05,122.03,1020.1,205,0.01029,89.02,False,2025-03-18,A
SC0011696,1000m,製造,YC-08,28.54,50.3,0.9,120.0,122.07,1020.2,618,0.0106,89.06,True,2025-03-18,A
SC0011697,1200m,製造,YC-08,27.36,50.5,0.9,120.0,122.05,1020.1,830,0.01074,89.03,False,2025-03-18,A
SC0011698,1500m,製造,YC-08,28.82,50.9,0.9,120.17,122.34,1021.7,1385,0.01206,89.09,False,2025-03-18,A
SC0011699,500m,製造,YC-08,27.56,50.1,0.9,120.09,122.07,1020.1,188,0.01017,89.02,False,2025-03-18,A
SC0011700,1000m,製造,YC-08,28.44,50.7,0.9,120.0,122.04,1020.1,1097,0.01131,89.03,False,2025-03-18,A
SC0011701,1000m,製造,YC-08,27.99,50.9,0.9,120.05,122.09,1020.3,1385,0.01234,89.06,False,2025-03-18,A
SC0011702,1200m,製造,YC-08,27.97,50.5,0.9,120.0,122.01,1020.0,734,0.01058,89.03,False,2025-03-18,A
SC0011703,1200m,製造,YC-08,28.11,50.5,0.9,120.0,122.03,1020.1,842,0.01134,89.03,False,2025-03-18,A
SC0011704,1200m,製造,YC-08,28.39,50.5,0.9,120.0,122.39,1021.1,955,0.01151,89.08,False,2025-03-18,A
SC0011705,1500m,製造,YC-08,27.68,50.3,0.9,120.0,122.02,1020.1,517,0.01067,89.02,False,2025-03-18,A
SC0011706,1000m,製造,YC-08,29.54,51.2,0.9,120.04,122.07,1020.2,1940,0.01231,89.07,True,2025-03-18,B
SC0011707,1200m,製造,YC-08,27.4,50.2,0.9,120.0,122.12,1020.2,143,0.01017,89.06,False,2025-03-18,A
SC0011708,1200m,製造,YC-08,27.39,50.9,0.9,120.0,122.09,1020.2,1385,0.01151,89.1,False,2025-03-18,A
SC0011709,1200m,試作品,YC-08,28.46,50.6,0.9,120.01,122.03,1020.0,993,0.01069,89.05,True,2025-03-18,A
SC0011710,1500m,製造,YC-08,29.38,50.5,0.9,120.0,122.08,1020.2,830,0.01091,89.08,False,2025-03-18,A
SC0011711,1200m,製造,YC-08,27.6,50.3,0.9,120.0,122.09,1020.1,455,0.01041,89.03,False,2025-03-18,A
SC0011712,1200m,製造,YC-08,27.38,50.3,0.9,120.24,122.24,1020.3,413,0.01041,89.04,False,2025-03-18,A
SC0011713,1000m,製造,YC-08,27.73,50.3,0.9,120.27,122.09,1020.1,552,0.01011,89.06,True,2025-03-18,B
SC0011714,1000m,製造,YC-08,28.3,50.3,0.9,120.14,122.09,1020.3,552,0.01066,89.05,False,2025-03-18,A
SC0011715,1200m,製造,YC-08,27.41,50.2,0.9,120.37,122.37,1021.3,465,0.0107,89.05,False,2025-03-18,B
SC0011716,1500m,製造,YC-08,27.55,50.3,0.9,120.17,122.1,1020.2,413,0.01033,89.05,False,2025-03-18,A
SC0011717,1200m,製造,YC-08,29.2,50.9,0.9,120.0,122.32,1020.8,1385,0.01192,89.09,False,2025-03-18,A
SC0011718,1000m,製造,YC-08,28.09,50.5,0.9,120.05,122.02,1020.1,830,0.01074,89.09,False,2025-03-18,A
SC0011719,100m,研究所テスト,YC-08,30.31,51.3,0.9,120.37,122.17,1020.2,1541,0.01092,89.04,False,2025-03-18,A
SC0011720,1200m,製造,YC-08,27.91,50.4,0.9,120.0,122.14,1020.3,691,0.01117,89.03,False,2025-03-18,A
SC0011721,1200m,製造,YC-08,27.99,50.3,0.9,120.05,122.06,1020.3,413,0.01025,89.08,False,2025-03-18,A
SC0011722,1500m,製造,YC-08,27.44,50.2,0.9,120.0,122.05,1020.5,765,0.01069,89.09,False,2025-03-18,A
SC0011723,500m,製造,YC-08,30.18,51.5,0.9,120.0,122.47,1021.8,2426,0.01457,89.12,False,2025-03-18,A
SC0011724,1000m,試作品,YC-08,28.09,50.5,0.9,120.0,122.09,1020.1,830,0.01066,89.07,True,2025-03-18,B
SC0011725,1500m,製造,YC-08,27.45,50.2,0.9,120.14,122.04,1020.2,344,0.01058,89.04,False,2025-03-18,A
SC0011726,500m,製造,YC-08,27.61,50.4,0.9,120.02,122.0,1020.1,1385,0.01151,89.1,False,2025-03-18,A
SC0011727,1200m,製造,YC-08,27.23,50.1,0.901,120.0,122.21,1020.6,170,0.01027,89.07,False,2025-03-18,A
SC0011728,1200m,製造,YC-08,28.36,50.6,0.9,120.11,122.02,1020.3,1038,0.01072,89.06,False,2025-03-18,A
SC0011729,1000m,製造,YC-08,27.25,50.2,0.9,120.14,122.09,1020.2,340,0.01051,89.02,False,2025-03-18,A
SC0011730,1200m,製造,YC-08,28.74,50.8,0.9,120.0,122.09,1020.2,1324,0.01144,89.04,False,2025-03-18,A
SC0011731,1200m,製造,YC-08,27.88,50.3,0.9,120.0,122.05,1020.2,413,0.01025,89.06,True,2025-03-18,A
SC0011732,300m,製造,YC-08,30.18,51.5,0.9,120.11,122.22,1020.4,2426,0.0124,89.07,False,2025-03-18,A
SC0011733,1500m,製造,YC-08,27.4,51.0,0.9,120.13,122.27,1020.6,1662,0.01132,89.08,False,2025-03-18,A
SC0011734,500m,製造,YC-08,27.16,50.3,0.9,120.09,122.02,1020.2,497,0.01064,89.03,False,2025-03-18,A
SC0011735,1000m,製造,YC-08,27.59,50.4,0.9,120.02,122.02,1020.0,344,0.01034,89.03,False,2025-03-18,A
SC0011736,1000m,製造,YC-08,27.91,50.4,0.9,120.03,122.01,1020.1,691,0.01089,89.05,False,2025-03-18,A
SC0011737,1500m,試作品,YC-08,30.18,51.5,0.9,120.09,122.01,1020.1,2426,0.01288,89.13,False,2025-03-18,B
SC0011738,1000m,製造,YC-08,28.46,51.0,0.9,120.0,122.03,1020.2,1593,0.01174,89.1,False,2025-03-18,A
SC0011739,1500m,製造,YC-08,27.91,50.4,0.9,120.0,122.14,1020.4,691,0.01069,89.13,False,2025-03-18,A
SC0011740,500m,製造,YC-08,27.73,50.3,0.902,120.0,122.0,1020.1,556,0.011,89.02,True,2025-03-18,B
SC0011741,1200m,製造,YC-08,27.93,50.3,0.9,120.0,122.09,1020.2,483,0.01058,89.03,False,2025-03-18,A
SC0011742,1200m,製造,YC-08,28.91,50.9,0.9,120.05,122.05,1020.2,1454,0.01274,89.08,False,2025-03-18,A
SC0011743,1200m,製造,YC-08,28.82,50.9,0.9,120.07,122.13,1020.2,1385,0.01192,89.04,True,2025-03-18,A
SC0011744,1200m,製造,YC-08,28.12,50.5,0.9,120.07,122.13,1020.4,910,0.01115,89.08,False,2025-03-18,A
SC0011745,1000m,製造,YC-08,28.85,50.8,0.9,120.18,122.36,1020.9,1372,0.01158,89.06,False,2025-03-18,A
SC0011746,500m,製造,YC-08,27.52,50.2,0.9,120.05,122.03,1020.2,396,0.01028,89.12,False,2025-03-18,A
SC0011747,1200m,製造,YC-08,27.27,50.1,0.9,120.02,122.01,1020.1,205,0.01027,89.05,False,2025-03-18,A
SC0011748,1000m,製造,YC-08,28.52,50.7,0.9,120.05,122.09,1020.2,1159,0.01104,89.04,False,2025-03-18,A
SC0011749,1000m,製造,YC-08,29.18,51.0,0.9,120.07,122.02,1020.2,1662,0.01231,89.06,True,2025-03-18,B
SC0011750,1200m,製造,YC-08,28.09,50.5,0.9,120.0,122.05,1020.2,830,0.01099,89.07,True,2025-03-18,B
SC0011751,1000m,製造,YC-08,27.76,50.4,0.9,120.01,122.01,1020.0,575,0.01046,89.02,True,2025-03-18,A
SC0011752,1000m,試作品,YC-08,29.25,50.7,0.9,120.15,122.25,1020.4,1107,0.01088,89.05,False,2025-03-18,A
SC0011753,1200m,製造,YC-08,28.53,50.7,0.9,120.1,122.17,1020.4,1163,0.01127,89.04,False,2025-03-18,A
SC0011754,1000m,製造,YC-08,29.55,51.2,0.9,120.0,122.01,1020.0,1947,0.01154,89.05,True,2025-03-18,A
SC0011755,1200m,製造,YC-08,27.28,50.2,0.9,120.09,122.02,1020.1,240,0.01019,89.03,False,2025-03-18,A
SC0011756,1500m,製造,YC-08,28.64,50.8,0.9,120.0,122.01,1020.0,1246,0.01062,89.09,False,2025-03-18,A
SC0011757,1500m,製造,YC-08,,50.4,0.9,120.0,122.09,1020.3,621,0.0108,89.07,False,2025-03-18,A
SC0011758,1200m,製造,YC-08,27.25,50.1,0.9,120.0,122.64,1021.0,205,0.01008,89.08,False,2025-03-18,A
SC0011759,1200m,製造,YC-08,29.18,50.4,0.9,120.01,122.03,1020.0,691,0.01062,89.02,True,2025-03-18,A
SC0011760,1200m,製造,YC-08,27.82,50.4,0.9,120.05,122.01,1020.1,620,0.01031,89.04,True,2025-03-18,A
SC0011761,1200m,製造,YC-08,28.96,50.4,0.9,120.09,122.09,1020.2,691,0.01048,89.08,False,2025-03-18,B
SC0011762,1500m,製造,YC-08,28.36,50.6,0.9,120.21,122.25,1021.5,1206,0.01216,89.14,False,2025-03-18,A
SC0011763,1000m,製造,YC-08,27.4,50.7,0.9,120.19,122.38,1020.5,1107,0.01055,89.09,False,2025-03-18,A
SC0011764,1500m,製造,YC-08,28.36,50.6,0.9,120.06,122.06,1020.3,1038,0.01072,89.07,False,2025-03-18,A
SC0011765,1200m,製造,YC-08,27.44,50.2,0.9,120.0,122.03,1020.1,330,0.0102,89.03,True,2025-03-18,A
SC0011766,500m,製造,YC-08,27.43,50.1,0.9,120.03,122.02,1020.1,205,0.0101,89.04,False,2025-03-18,B
SC0011767,1000m,製造,YC-08,29.75,50.9,0.9,120.0,122.09,1020.5,1385,0.01179,89.07,False,2025-03-18,A
SC0011768,1200m,製造,YC-08,30.18,51.5,0.9,120.05,122.09,1020.2,2426,0.01337,89.28,False,2025-03-18,A
SC0011769,1200m,製造,YC-08,27.98,50.5,0.9,120.0,122.02,1020.1,743,0.01074,89.03,False,2025-03-18,A
SC0011770,1200m,試作品,YC-08,28.59,50.8,0.9,120.0,122.1,1020.2,1146,0.01084,89.03,False,2025-03-18,A
SC0011771,500m,試作品,YC-08,27.73,50.3,0.9,120.02,122.0,1020.0,552,0.01038,89.03,False,2025-03-18,A
SC0011772,500m,製造,YC-08,27.38,50.1,0.9,120.13,122.15,1020.4,243,0.01037,89.04,False,2025-03-18,A
SC0011773,1000m,製造,YC-08,27.91,50.4,0.9,120.12,122.01,1020.2,691,0.01103,89.05,False,2025-03-18,A
SC0011774,500m,試作品,YC-08,28.62,50.8,0.9,120.15,122.3,1020.5,1237,0.01086,89.04,True,2025-03-18,B
SC0011775,1200m,製造,YC-08,27.31,50.4,0.9,120.0,122.11,1020.4,483,0.01034,89.04,False,2025-03-18,A
SC0011776,1000m,製造,YC-08,29.09,50.8,0.9,120.09,122.05,1020.3,1312,0.01286,89.04,False,2025-03-18,A
SC0011777,500m,製造,YC-08,28.09,50.5,0.9,120.05,122.05,1020.2,830,0.01091,89.07,False,2025-03-18,A
SC0011778,1200m,製造,YC-08,27.91,50.4,0.9,120.21,122.21,1020.5,489,0.01069,89.05,False,2025-03-18,A
SC0011779,1500m,製造,YC-08,27.36,50.2,0.9,120.0,122.13,1020.3,275,0.01027,89.03,False,2025-03-18,A
SC0011780,300m,製造,YC-08,28.45,50.7,0.9,120.06,122.13,1020.3,1107,0.01121,89.07,False,2025-03-18,A
SC0011781,1000m,製造,YC-08,27.89,50.4,0.9,120.12,122.08,1020.2,674,0.01114,89.03,True,2025-03-18,A
SC0011782,1200m,試作品,YC-08,28.98,50.4,0.9,120.29,122.1,1020.3,621,0.01043,89.05,False,2025-03-18,A
SC0011783,1000m,試作品,YC-08,28.12,50.4,0.9,120.09,122.09,1020.2,703,0.01098,89.02,False,2025-03-18,A
SC0011784,1200m,製造,YC-08,29.73,51.3,0.9,120.21,122.21,1021.0,2079,0.0133,89.08,False,2025-03-18,A
SC0011785,1200m,製造,YC-08,28.93,50.9,0.9,120.05,122.03,1020.1,1468,0.01131,89.04,True,2025-03-18,A
SC0011786,1200m,製造,YC-08,27.41,50.2,0.9,120.0,122.09,1020.1,344,0.01017,89.06,False,2025-03-18,A
SC0011787,1000m,製造,YC-08,27.79,50.5,0.9,120.0,122.06,1020.1,413,0.01041,89.06,False,2025-03-18,A
SC0011788,1000m,製造,YC-08,28.09,50.5,0.9,120.05,122.02,1020.1,830,0.01049,89.04,True,2025-03-18,A
SC0011789,1000m,製造,YC-08,27.76,50.4,0.9,120.01,122.01,1020.0,575,0.0104,89.02,False,2025-03-18,A
SC0011790,300m,製造,YC-08,30.28,51.5,0.9,120.0,122.7,1022.4,2426,0.01385,89.27,False,2025-03-18,A
SC0011791,1500m,製造,YC-08,27.24,50.3,0.9,120.0,122.11,1020.2,552,0.01071,89.05,False,2025-03-18,A
SC0011792,1200m,製造,YC-08,29.26,50.9,0.9,120.0,122.02,1020.1,871,0.01104,89.04,False,2025-03-18,A
SC0011793,1200m,製造,YC-08,,50.3,0.9,120.0,122.01,1020.0,413,0.01054,89.07,False,2025-03-18,A
SC0011794,1500m,試作品,YC-08,29.27,51.1,0.9,120.07,122.07,1020.2,1732,0.01223,89.05,False,2025-03-18,A
SC0011795,500m,製造,YC-08,28.73,50.8,0.9,120.0,122.03,1020.3,1315,0.01183,89.05,False,2025-03-18,A
SC0011796,1500m,製造,YC-08,27.93,50.3,0.9,120.0,122.31,1020.8,483,0.01043,89.07,False,2025-03-18,A
SC0011797,1500m,試作品,YC-08,27.71,50.3,0.9,120.0,122.0,1020.0,538,0.01027,89.03,False,2025-03-18,A
SC0011798,500m,製造,YC-08,28.76,50.7,0.9,120.18,122.04,1020.5,1107,0.01088,89.08,False,2025-03-18,A
SC0011799,1200m,製造,YC-08,27.73,50.3,0.9,120.0,122.01,1020.0,552,0.01027,89.03,False,2025-03-18,A
SC0011800,300m,製造,YC-08,27.89,50.3,0.9,120.0,122.71,1022.7,1593,0.0119,89.1,True,2025-03-19,B
SC0011801,1000m,製造,YC-08,27.93,51.2,0.9,120.0,122.36,1020.8,1940,0.01288,89.08,True,2025-03-19,B
SC0011802,1200m,製造,YC-08,28.06,50.4,0.9,120.56,122.07,1021.2,948,0.01122,89.05,True,2025-03-19,A
SC0011803,300m,製造,YC-08,27.95,51.8,0.901,120.0,122.3,1021.1,1995,0.01237,89.4,False,2025-03-19,A
SC0011804,1200m,製造,YC-08,28.75,50.5,0.9,120.02,122.03,1020.1,830,0.01124,89.05,False,2025-03-19,A
SC0011805,1500m,製造,YC-08,27.6,50.3,0.9,120.05,122.09,1020.1,455,0.01032,89.05,False,2025-03-19,A
SC0011806,1500m,製造,YC-08,27.4,50.2,0.9,120.0,122.03,1020.0,302,0.0103,89.04,False,2025-03-19,A
SC0011807,1200m,製造,YC-08,27.83,50.6,0.9,120.05,122.09,1020.2,1038,0.01124,89.05,True,2025-03-19,B
SC0011808,1200m,製造,YC-08,27.85,50.4,0.9,120.0,122.05,1020.3,644,0.0107,89.04,False,2025-03-19,A
SC0011809,500m,製造,YC-08,31.13,50.9,0.9,120.1,122.02,1020.2,1385,0.01124,89.08,False,2025-03-19,A
SC0011810,1500m,製造,YC-08,28.36,50.6,0.9,120.16,122.13,1020.5,1038,0.01082,89.09,False,2025-03-19,A
SC0011811,500m,製造,YC-08,28.93,50.4,0.901,120.49,122.05,1021.7,663,0.01092,89.08,False,2025-03-19,A
SC0011812,500m,製造,YC-08,27.09,50.0,0.9,120.0,122.06,1020.2,66,0.01008,89.06,True,2025-03-19,B
SC0011813,1000m,製造,YC-08,27.45,50.2,0.9,120.0,122.01,1020.0,344,0.01014,89.01,False,2025-03-19,A
SC0011814,1000m,製造,YC-08,27.83,50.5,0.9,120.13,122.05,1020.2,830,0.01074,89.05,False,2025-03-19,A
SC0011815,1200m,製造,YC-08,27.18,50.3,0.9,120.0,122.01,1020.3,507,0.01091,89.11,False,2025-03-19,A
SC0011816,500m,製造,YC-08,28.2,50.6,0.9,120.05,122.01,1020.1,913,0.01127,89.05,False,2025-03-19,A
SC0011817,1500m,試作品,YC-08,29.89,50.6,0.9,120.04,122.08,1020.3,968,0.01192,89.07,False,2025-03-19,A
SC0011818,500m,試作品,YC-08,27.26,50.4,0.9,120.0,122.04,1020.2,916,0.01127,89.04,False,2025-03-19,A
SC0011819,1000m,製造,YC-08,28.64,50.8,0.9,120.04,122.01,1020.2,1246,0.01148,89.06,False,2025-03-19,A
SC0011820,1200m,製造,YC-08,29.82,51.3,0.9,120.0,122.05,1020.1,1107,0.01088,89.06,False,2025-03-19,A
SC0011821,300m,製造,YC-08,29.58,51.7,0.9,120.0,122.04,1020.1,1662,0.0133,89.05,False,2025-03-19,A
